Nome	Identificação	Catmat	Quantidade	Estoque ideal	Posição	Categoria	Descrição
CAPACITOR DE CERÂMICA - DISCO – 250V – 10NF	Csm-0001	0	129	100	Xxx-0000	Consumo	CAPACITOR DE CERÂMICA - DISCO – 250V – 10NF
CAPACITOR DE CERÂMICA - DISCO – 250V – 1NF	Csm-0001	0	0	100	Xxx-0000	Consumo	CAPACITOR DE CERÂMICA - DISCO – 250V – 1NF
CAPACITOR DE CERÂMICA - DISCO – 250V – 22PF	Csm-0001	0	1054	100	Xxx-0000	Consumo	CAPACITOR DE CERÂMICA - DISCO – 250V – 22PF
CAPACITOR DE CERÂMICA - DISCO – 250V – 4,7NF	Csm-0001	0	88	100	Xxx-0000	Consumo	CAPACITOR DE CERÂMICA - DISCO – 250V – 4,7NF
CAPACITOR ELETROLÍTICO - 100V – 0,47UF	Csm-0001	0	96	100	Xxx-0000	Consumo	CAPACITOR ELETROLÍTICO - 100V – 0,47UF
CAPACITOR ELETROLÍTICO - 250V – 1000UF	Csm-0001	0	9	10	Xxx-0000	Consumo	CAPACITOR ELETROLÍTICO - 250V – 1000UF
CAPACITOR ELETROLÍTICO - 400V – 470UF	Csm-0001	0	9	10	Xxx-0000	Consumo	CAPACITOR ELETROLÍTICO - 400V – 470UF
CAPACITOR ELETROLÍTICO - 50V – 1000UF	Csm-0001	0	192	100	Xxx-0000	Consumo	CAPACITOR ELETROLÍTICO - 50V – 1000UF
CAPACITOR ELETROLÍTICO - 50V – 4,7UF	Csm-0001	0	0	0	Xxx-0000	Consumo	CAPACITOR ELETROLÍTICO - 50V – 4,7UF
CAPACITOR ELETROLÍTICO - 50V – 470UF	Csm-0001	0	0	100	Xxx-0000	Consumo	CAPACITOR ELETROLÍTICO - 50V – 470UF
CAPACITOR ELETROLÍTICO - 50V – 47UF	Csm-0001	0	0	0	Xxx-0000	Consumo	CAPACITOR ELETROLÍTICO - 50V – 47UF
CIRCUITO INTEGRADO 40106 - Hex inverting Schmitt trigger	Csm-0001	0	145	200	Xxx-0000	Consumo	CIRCUITO INTEGRADO 40106 - Hex inverting Schmitt trigger
CIRCUITO INTEGRADO TTL - 74LS174 - Hex/Quad D-Type Flip-Flop with Clear	Csm-0001	0	66	200	Xxx-0000	Consumo	CIRCUITO INTEGRADO TTL - 74LS174 - Hex/Quad D-Type Flip-Flop with Clear
CIRCUITO INTEGRADO TTL - 74LS47 - BCD to 7 Segments	Csm-0001	0	119	200	Xxx-0000	Consumo	CIRCUITO INTEGRADO TTL - 74LS47 - BCD to 7 Segments
CIRCUITO INTEGRADO TTL - 74LS74 - Dual D-Type Flip Flop with Preset and Clear	Csm-0001	0	58	200	Xxx-0000	Consumo	CIRCUITO INTEGRADO TTL - 74LS74 - Dual D-Type Flip Flop with Preset and Clear
CIRCUITO INTEGRADO CD4071 - Quad 2-Input OR	Csm-0001	0	97	200	Xxx-0000	Consumo	CIRCUITO INTEGRADO CD4071 - Quad 2-Input OR
CIRCUITO INTEGRADO CD4081 - Quad 2-Input AND	Csm-0001	0	100	200	Xxx-0000	Consumo	CIRCUITO INTEGRADO CD4081 - Quad 2-Input AND
CIRCUITO INTEGRADO CD4093 - Quad 2-Input NAND Schmitt Trigger	Csm-0001	0	97	200	Xxx-0000	Consumo	CIRCUITO INTEGRADO CD4093 - Quad 2-Input NAND Schmitt Trigger
CIRCUITO INTEGRADO LM318	Csm-0001	0	0	200	Xxx-0000	Consumo	CIRCUITO INTEGRADO LM318
CIRCUITO INTEGRADO LM319N	Csm-0001	0	229	200	Xxx-0000	Consumo	CIRCUITO INTEGRADO LM319N
CIRCUITO INTEGRADO LM555	Csm-0001	0	141	200	Xxx-0000	Consumo	CIRCUITO INTEGRADO LM555
CIRCUITO INTEGRADO NE555	Csm-0001	0	112	200	Xxx-0000	Consumo	CIRCUITO INTEGRADO NE555
CIRCUITO INTEGRADO LM741	Csm-0001	0	200	200	Xxx-0000	Consumo	CIRCUITO INTEGRADO LM741
CIRCUITO INTEGRADO 741	Csm-0001	0	81	200	Xxx-0000	Consumo	CIRCUITO INTEGRADO 741
CIRCUITO INTEGRADO NE556 (LM 556)	Csm-0001	0	585	200	Xxx-0000	Consumo	CIRCUITO INTEGRADO NE556 (LM 556)
CIRCUITO INTEGRADO SG3524 - REGULATING PULSE WIDTH MODULATORS	Csm-0001	0	116	200	Xxx-0000	Consumo	CIRCUITO INTEGRADO SG3524 - REGULATING PULSE WIDTH MODULATORS
CIRCUITO INTEGRADO C3751PS 	Csm-0001	0	13	200	Xxx-0000	Consumo	CIRCUITO INTEGRADO C3751PS 
