Nome	Identificação	Catmat	Quantidade	Estoque ideal	Posição	Categoria	Descrição
CAPACITOR CERÂMICO/POLIÉTER 250V – 1UF	32	0	80	100	2	Consumo	CAPACITOR CERÂMICO/POLIÉTER 250V – 1UF
CAPACITOR CERÂMICO/POLIÉTER 250V – 220NF	33	0	99	100	2	Consumo	CAPACITOR CERÂMICO/POLIÉTER 250V – 220NF
CAPACITOR CERÂMICO/POLIÉTER 250V – 22NF	34	0	102	100	2	Consumo	CAPACITOR CERÂMICO/POLIÉTER 250V – 22NF
CAPACITOR CERÂMICO/POLIÉTER 250V – 33NF	35	0	98	100	2	Consumo	CAPACITOR CERÂMICO/POLIÉTER 250V – 33NF
CAPACITOR CERÂMICO/POLIÉTER 250V – 470NF	36	0	79	100	2	Consumo	CAPACITOR CERÂMICO/POLIÉTER 250V – 470NF
CAPACITOR CERÂMICO/POLIÉTER 400V – 330NF	37	0	54	100	2	Consumo	CAPACITOR CERÂMICO/POLIÉTER 400V – 330NF
CAPACITOR DE CERÂMICA - DISCO – 250V – 100NF	38	0	199	100	2	Consumo	CAPACITOR DE CERÂMICA - DISCO – 250V – 100NF
CAPACITOR DE CERÂMICA - DISCO – 250V – 100PF	39	0	102	100	2	Consumo	CAPACITOR DE CERÂMICA - DISCO – 250V – 100PF
CAPACITOR DE CERÂMICA - DISCO – 250V – 10NF	40	0	129	100	2	Consumo	CAPACITOR DE CERÂMICA - DISCO – 250V – 10NF
CAPACITOR DE CERÂMICA - DISCO – 250V – 1NF	41	0	0	100	2	Consumo	CAPACITOR DE CERÂMICA - DISCO – 250V – 1NF
CAPACITOR DE CERÂMICA - DISCO – 250V – 22PF	42	0	1054	100	2	Consumo	CAPACITOR DE CERÂMICA - DISCO – 250V – 22PF
CAPACITOR DE CERÂMICA - DISCO – 250V – 4,7NF	43	0	88	100	2	Consumo	CAPACITOR DE CERÂMICA - DISCO – 250V – 4,7NF
CAPACITOR ELETROLÍTICO - 100V – 0,47UF	44	0	96	100	2	Consumo	CAPACITOR ELETROLÍTICO - 100V – 0,47UF
CAPACITOR ELETROLÍTICO - 250V – 1000UF	45	0	9	10	2	Consumo	CAPACITOR ELETROLÍTICO - 250V – 1000UF
CAPACITOR ELETROLÍTICO - 400V – 470UF	46	0	9	10	2	Consumo	CAPACITOR ELETROLÍTICO - 400V – 470UF
CAPACITOR ELETROLÍTICO - 50V – 1000UF	47	0	192	100	2	Consumo	CAPACITOR ELETROLÍTICO - 50V – 1000UF
CAPACITOR ELETROLÍTICO - 50V – 4,7UF	48	0	0	0	2	Consumo	CAPACITOR ELETROLÍTICO - 50V – 4,7UF
CAPACITOR ELETROLÍTICO - 50V – 470UF	49	0	0	100	2	Consumo	CAPACITOR ELETROLÍTICO - 50V – 470UF
CAPACITOR ELETROLÍTICO - 50V – 47UF	50	0	0	0	2	Consumo	CAPACITOR ELETROLÍTICO - 50V – 47UF
CIRCUITO INTEGRADO 40106 - Hex inverting Schmitt trigger	51	0	145	200	2	Consumo	CIRCUITO INTEGRADO 40106 - Hex inverting Schmitt trigger
CIRCUITO INTEGRADO TTL - 74LS174 - Hex/Quad D-Type Flip-Flop with Clear	52	0	66	200	2	Consumo	CIRCUITO INTEGRADO TTL - 74LS174 - Hex/Quad D-Type Flip-Flop with Clear
CIRCUITO INTEGRADO TTL - 74LS47 - BCD to 7 Segments	53	0	119	200	2	Consumo	CIRCUITO INTEGRADO TTL - 74LS47 - BCD to 7 Segments
CIRCUITO INTEGRADO TTL - 74LS74 - Dual D-Type Flip Flop with Preset and Clear	54	0	58	200	2	Consumo	CIRCUITO INTEGRADO TTL - 74LS74 - Dual D-Type Flip Flop with Preset and Clear
CIRCUITO INTEGRADO CD4071 - Quad 2-Input OR	55	0	97	200	2	Consumo	CIRCUITO INTEGRADO CD4071 - Quad 2-Input OR
CIRCUITO INTEGRADO CD4081 - Quad 2-Input AND	56	0	100	200	2	Consumo	CIRCUITO INTEGRADO CD4081 - Quad 2-Input AND
CIRCUITO INTEGRADO CD4093 - Quad 2-Input NAND Schmitt Trigger	57	0	97	200	2	Consumo	CIRCUITO INTEGRADO CD4093 - Quad 2-Input NAND Schmitt Trigger
CIRCUITO INTEGRADO LM318	58	0	0	200	2	Consumo	CIRCUITO INTEGRADO LM318
CIRCUITO INTEGRADO LM319N	59	0	229	200	2	Consumo	CIRCUITO INTEGRADO LM319N
CIRCUITO INTEGRADO LM555	60	0	141	200	2	Consumo	CIRCUITO INTEGRADO LM555
